,mean,std
walk,6.765913757700205,4.0402320209139075
age,17.12603554485591,13.823624601900534
total_floors,6.234935920130284,4.1888272922377
floor,3.6737945195779935,2.9104095482009327
area,32.47836437017631,12.753314778076463
