,mean,std
walk,6.514782608695652,2.860881745779398
age,10.39895652173913,9.531223784796177
area,35.31656521739131,15.2595215644356
rooms,1.2273913043478262,0.523511725857297
floor,4.021304347826087,3.827509459029886
